t_sec,cmd_vx,cmd_wz,meas_speed_tf
0.052,0.000,0.000,0.005
0.100,0.000,0.000,0.187
0.150,0.000,0.000,0.000
0.199,0.000,0.000,0.068
0.249,0.000,0.000,0.000
0.300,0.000,0.000,0.190
0.349,0.000,0.000,0.000
0.400,0.000,0.000,0.407
0.450,0.000,0.000,0.000
0.500,0.000,0.000,0.131
0.550,0.000,0.000,0.000
0.600,0.000,0.000,0.361
0.650,0.000,0.000,0.000
0.700,0.000,0.000,0.454
0.749,0.000,0.000,0.000
0.800,0.000,0.000,0.294
0.850,0.000,0.000,0.000
0.900,0.000,0.000,0.035
0.949,0.000,0.000,0.000
1.000,0.000,0.000,0.025
1.049,0.000,0.000,0.000
1.099,0.000,0.000,0.431
1.150,0.000,0.000,0.000
1.199,0.000,0.000,0.304
1.249,0.000,0.000,0.000
1.300,0.000,0.000,0.326
1.349,0.000,0.000,0.000
1.400,0.000,0.000,0.081
1.449,0.000,0.000,0.000
1.500,0.000,0.000,0.252
1.550,0.000,0.000,0.000
1.600,0.000,0.000,0.137
1.650,0.000,0.000,0.000
1.700,0.000,0.000,0.061
1.750,0.000,0.000,0.000
1.799,0.000,0.000,0.076
1.849,0.000,0.000,0.000
1.900,0.000,0.000,0.070
1.951,0.000,0.000,0.000
2.000,0.000,0.000,0.064
2.049,0.000,0.000,0.000
2.100,0.000,0.000,0.178
2.150,0.000,0.000,0.000
2.200,0.000,0.000,0.080
2.250,0.000,0.000,0.000
2.300,0.000,0.000,0.037
2.350,0.000,0.000,0.000
2.400,0.000,0.000,0.019
2.450,0.000,0.000,0.000
2.500,0.000,0.000,0.044
2.550,0.000,0.000,0.000
2.600,0.000,0.000,0.042
2.650,0.000,0.000,0.000
2.700,0.000,0.000,0.065
2.750,0.000,0.000,0.000
2.800,0.000,0.000,0.053
2.850,0.000,0.000,0.000
2.899,0.000,0.000,0.083
2.949,0.000,0.000,0.000
3.000,0.000,0.000,0.179
3.051,0.000,0.000,0.000
3.100,0.000,0.000,0.107
3.150,0.000,0.000,0.000
3.200,0.000,0.000,0.085
3.250,0.000,0.000,0.000
3.300,0.000,0.000,0.080
3.352,0.000,0.000,0.000
3.399,0.000,0.000,0.121
3.450,0.000,0.000,0.000
3.499,0.000,0.000,0.101
3.552,0.000,0.000,0.000
3.600,0.000,0.000,0.090
3.650,0.000,0.000,0.000
3.700,0.000,0.000,0.119
3.750,0.000,0.000,0.000
3.801,0.000,0.000,0.095
3.850,0.000,0.000,0.000
3.900,0.000,0.000,0.044
3.949,0.000,0.000,0.000
4.000,0.000,0.000,0.071
4.049,0.000,0.000,0.000
4.099,0.000,0.000,0.093
4.150,0.000,0.000,0.000
4.200,0.000,0.000,0.135
4.250,0.000,0.000,0.000
4.300,0.000,0.000,0.111
4.349,0.000,0.000,0.000
4.400,0.000,0.000,0.087
4.449,0.000,0.000,0.000
4.500,0.000,0.000,0.045
4.549,0.000,0.000,0.000
4.600,0.000,0.000,0.024
4.650,0.000,0.000,0.000
4.699,0.000,0.000,0.047
4.749,0.000,0.000,0.000
4.800,0.000,0.000,0.053
4.849,0.000,0.000,0.000
4.899,0.000,0.000,0.085
4.950,0.000,0.000,0.000
5.000,0.000,0.000,0.064
5.050,0.000,0.000,0.000
5.100,0.000,0.000,0.087
5.150,0.000,0.000,0.000
5.200,0.000,0.000,0.017
5.249,0.000,0.000,0.000
5.300,0.000,0.000,0.069
5.350,0.000,0.000,0.000
5.399,0.000,0.000,0.247
5.450,0.000,0.000,0.000
5.500,0.000,0.000,0.204
5.549,0.000,0.000,0.000
5.600,0.000,0.000,0.118
5.649,0.000,0.000,0.000
5.700,0.000,0.000,0.056
5.750,0.000,0.000,0.000
5.799,0.000,0.000,0.158
5.849,0.000,0.000,0.000
5.899,0.000,0.000,0.089
5.949,0.000,0.000,0.000
5.999,0.000,0.000,0.010
6.049,0.000,0.000,0.000
6.099,0.000,0.000,0.034
6.149,0.000,0.000,0.000
6.201,0.000,0.000,0.041
6.250,0.000,0.000,0.000
6.300,0.000,0.000,0.015
6.349,0.000,0.000,0.000
6.400,0.000,0.000,0.077
6.450,0.000,0.000,0.000
6.499,0.000,0.000,0.054
6.549,0.000,0.000,0.000
6.601,0.000,0.000,0.149
6.650,0.000,0.000,0.000
6.700,0.000,0.000,0.157
6.752,0.000,0.000,0.000
6.800,0.000,0.000,0.218
6.850,0.000,0.000,0.000
6.900,0.000,0.000,0.096
6.950,0.000,0.000,0.000
6.999,0.000,0.000,0.112
7.050,0.000,0.000,0.000
7.100,0.000,0.000,0.136
7.150,0.000,0.000,0.000
7.200,0.000,0.000,0.125
7.250,0.000,0.000,0.000
7.299,0.000,0.000,0.128
7.350,0.000,0.000,0.000
7.400,0.000,0.000,0.076
7.449,0.000,0.000,0.000
7.499,0.000,0.000,0.079
7.549,0.000,0.000,0.000
7.600,0.000,0.000,0.064
7.650,0.000,0.000,0.000
7.700,0.000,0.000,0.252
7.750,0.000,0.000,0.000
7.800,0.000,0.000,0.158
7.849,0.000,0.000,0.000
7.900,0.000,0.000,0.025
7.949,0.000,0.000,0.000
8.000,0.000,0.000,0.044
8.049,0.000,0.000,0.000
8.099,0.000,0.000,0.099
8.150,0.000,0.000,0.000
8.199,0.000,0.000,0.070
8.250,0.000,0.000,0.000
8.300,0.000,0.000,0.174
8.349,0.000,0.000,0.000
8.400,0.000,0.000,0.135
8.450,0.000,0.000,0.000
8.500,0.000,0.000,0.121
8.550,0.000,0.000,0.000
8.600,0.000,0.000,0.026
8.649,0.000,0.000,0.000
8.700,0.000,0.000,0.158
8.749,0.000,0.000,0.000
8.800,0.000,0.000,0.153
8.849,0.000,0.000,0.000
8.899,0.000,0.000,0.139
8.949,0.000,0.000,0.000
9.000,0.000,0.000,0.041
9.050,0.000,0.000,0.000
9.100,0.000,0.000,0.023
9.149,0.000,0.000,0.000
9.200,0.000,0.000,0.101
9.250,0.000,0.000,0.000
9.299,0.000,0.000,0.062
9.349,0.000,0.000,0.000
9.399,0.000,0.000,0.068
9.450,0.000,0.000,0.000
9.499,0.000,0.000,0.051
9.549,0.000,0.000,0.000
9.599,0.000,0.000,0.182
9.650,0.000,0.000,0.000
9.700,0.000,0.000,0.061
9.750,0.000,0.000,0.000
9.800,0.000,0.000,0.099
9.849,0.000,0.000,0.000
9.900,0.000,0.000,0.089
9.950,0.000,0.000,0.000
10.000,0.000,0.000,0.051
10.050,0.000,0.000,0.000
10.100,0.000,0.000,0.037
10.150,0.000,0.000,0.000
10.200,0.000,0.000,0.195
10.250,0.000,0.000,0.000
10.300,0.000,0.000,0.103
10.350,0.000,0.000,0.000
10.399,0.000,0.000,0.081
10.450,0.000,0.000,0.000
10.501,0.000,0.000,0.083
10.550,0.000,0.000,0.000
10.600,0.000,0.000,0.153
10.650,0.000,0.000,0.000
10.699,0.000,0.000,0.170
10.749,0.000,0.000,0.000
10.800,0.000,0.000,0.185
10.849,0.000,0.000,0.000
10.900,0.000,0.000,0.170
10.950,0.000,0.000,0.000
10.999,0.000,0.000,0.160
11.049,0.000,0.000,0.000
11.099,0.000,0.000,0.114
11.149,0.000,0.000,0.000
11.200,0.000,0.000,0.054
11.249,0.000,0.000,0.000
11.299,0.000,0.000,0.126
11.349,0.000,0.000,0.000
11.399,0.000,0.000,0.031
11.450,0.000,0.000,0.000
11.500,0.000,0.000,0.212
11.550,0.000,0.000,0.000
11.599,0.000,0.000,0.205
11.650,0.000,0.000,0.000
11.700,0.000,0.000,0.172
11.750,0.000,0.000,0.000
11.800,0.000,0.000,0.102
11.849,0.000,0.000,0.000
11.899,0.000,0.000,0.129
11.949,0.000,0.000,0.000
11.999,0.000,0.000,0.127
12.049,0.000,0.000,0.000
12.099,0.000,0.000,0.221
12.149,0.000,0.000,0.000
12.200,0.000,0.000,0.009
12.250,0.000,0.000,0.000
12.300,0.000,0.000,0.214
12.350,0.000,0.000,0.000
12.399,0.000,0.000,0.187
12.449,0.000,0.000,0.000
12.500,0.000,0.000,0.169
12.550,0.000,0.000,0.000
12.600,0.000,0.000,0.107
12.650,0.000,0.000,0.000
12.700,0.000,0.000,0.058
12.749,0.000,0.000,0.000
12.800,0.000,0.000,0.349
12.849,0.000,0.000,0.000
12.900,0.000,0.000,0.202
12.950,0.000,0.000,0.000
13.000,0.000,0.000,0.132
13.049,0.000,0.000,0.000
13.100,0.000,0.000,0.189
13.150,0.000,0.000,0.000
13.200,0.000,0.000,0.246
13.250,0.000,0.000,0.000
13.300,0.000,0.000,0.078
13.350,0.000,0.000,0.000
13.400,0.000,0.000,0.135
13.452,0.000,0.000,0.000
13.500,0.000,0.000,0.201
13.550,0.000,0.000,0.000
13.601,0.000,0.000,0.103
13.650,0.000,0.000,0.000
13.701,0.000,0.000,0.133
13.751,0.000,0.000,0.000
13.800,0.000,0.000,0.115
13.850,0.000,0.000,0.000
13.900,0.000,0.000,0.020
13.950,0.000,0.000,0.000
14.000,0.000,0.000,0.249
14.049,0.000,0.000,0.000
14.100,0.000,0.000,0.118
14.149,0.000,0.000,0.000
14.200,0.000,0.000,0.081
14.250,0.000,0.000,0.000
14.300,0.000,0.000,0.060
14.350,0.000,0.000,0.000
14.400,0.000,0.000,0.170
14.450,0.000,0.000,0.000
14.500,0.000,0.000,0.104
14.550,0.000,0.000,0.000
14.600,0.000,0.000,0.032
14.649,0.000,0.000,0.000
14.700,0.000,0.000,0.303
14.749,0.000,0.000,0.000
14.800,0.000,0.000,0.141
14.850,0.000,0.000,0.000
14.900,0.000,0.000,0.132
14.950,0.000,0.000,0.000
15.000,0.000,0.000,0.251
15.050,0.000,0.000,0.000
15.100,0.000,0.000,0.236
15.149,0.000,0.000,0.000
15.200,0.000,0.000,0.069
15.249,0.000,0.000,0.000
15.299,0.000,0.000,0.276
15.352,0.000,0.000,0.000
15.399,0.000,0.000,0.307
15.449,0.000,0.000,0.000
15.499,0.000,0.000,0.117
